Vrest,dVdt,APA,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,Gender,class
-76.637,144.1,114.72,8.1149,73.286,106.29,258.29,152,162.39,415.8,299.44,617.44,318,255.97,0
-77.248,201.68,119.02,6.0401,61.602,105.6,253.6,148,294.52,513.79,218.6,519.6,301,221.76,0
-77.207,138.46,113.67,7.8964,62.45,94.45,240.45,146,354.98,576.49,191.45,459.45,268,223.19,0
-74.768,185.47,119.44,7.5414,57.509,90.509,243.51,153,349.23,575.48,221.51,520.51,299,229.2,0
-75.704,178.4,117.51,6.9257,64.455,106.45,265.45,159,160.81,368.11,232.45,509.45,277,208.31,0
-78.074,182.38,117.1,6.1012,56.122,100.12,243.12,143,213.9,409.9,206.12,485.12,279,197.13,0
-78.042,159.1,118.54,9.9593,81.637,111.64,250.64,139,350.6,573.75,202.64,478.88,276.24,225.18,0
-76.047,145.36,115.13,9.1116,62.285,92.285,257.28,165,117.86,340.79,256.28,511.28,255,223.46,0
-77.434,155.1,115.86,7.3906,73.865,105.87,242.87,137,151.73,411.5,281.87,586.87,305,261.55,0
-77.866,210.79,119.88,5.9256,67.621,110.62,248.62,138,190.63,395.27,223.62,511.62,288,205.96,0
-76.735,142.97,113.06,7.1769,68.393,99.393,243.39,144,101.06,317.88,284.39,598.39,314,218.24,0
-76.756,195.61,118.28,6.311,69.021,109.02,254.02,145,134.47,339.17,320.02,667.02,347,208.14,0
-75.922,191.43,119.26,6.9204,67.246,104.25,256.25,152,222.53,485.33,304.25,645.25,341,267.58,0
-77.352,130.11,110.76,6.7219,59.557,96.557,243.35,146.8,329.45,569.71,244.48,576.04,331.56,244.82,0
-78.346,180.01,119.74,7.6907,73.251,106.25,237.25,131,246.88,467.61,200.25,457.25,257,221.71,0
-75.679,159.65,116.46,7.728,65.531,99.531,260.53,161,335.34,574.16,206.53,476.53,270,240.56,0
-74.665,141.3,114.12,8.6019,68.824,100.82,258.82,158,197.39,419.32,220.82,475.82,255,222.72,0
-77.705,183.82,120.06,7.4113,84.386,119.39,256.39,137,273.41,513.64,238.39,542.39,304,242.93,0
-76.694,164.71,115.91,6.7278,67.375,105.37,254.37,149,144.12,359.95,220.37,477.37,257,216.48,0
-76.688,159.49,115.81,7.2954,76.423,111.42,257.42,146,143.21,365.09,300.42,633.42,333,224.6,0
-76.686,155.4,114.21,6.4475,57.43,90.43,241.43,151,118.56,374.37,263.76,545.76,282,256.78,0
-76.999,156.23,114.02,6.2903,65.443,107.44,260.44,153,195.5,421.19,250.44,559.44,309,227.78,0
-75.118,125.97,111.52,8.6308,63.89,95.89,258.89,163,267,461.24,201.89,474.89,273,195.55,0
-75.734,136.35,112.49,7.7425,70.04,104.04,265.04,161,108.74,320.56,320.04,654.04,334,214.23,0
-77.195,172.07,119.35,8.5526,67.379,101.38,243.38,142,316.45,535.65,202.38,466.38,264,220.62,0
-75.008,181.1,116.93,6.6111,67.977,103.98,255.98,152,151.1,382.22,307.98,646.98,339,234.3,0
-76.27,179.74,117.87,6.8567,60.587,100.59,266.59,166,351.82,594.75,213.59,499.59,286,245.33,0
-74.949,132.72,111.22,7.1944,58.538,88.538,250.54,162,281.2,515.51,214.54,499.54,285,236.09,0
-76.365,155.46,116.43,8.3643,74.364,113.36,265.36,152,146.64,346.06,267.36,570.36,303,200.98,0
-75.271,201.3,118.83,6.5933,57.793,93.793,239.79,146,292.26,553.34,285.79,634.79,349,267.32,0
-76.414,189.2,120.11,7.1885,57.436,99.436,251.44,152,155.65,368.5,268.44,566.44,298,214.38,0
-75.591,177.96,116.6,6.5586,57.137,92.137,247.14,155,120.52,349.03,298.14,624.14,326,230.6,0
-75.913,144.2,113.92,7.6207,59.328,97.29,261.29,164,338.26,563.78,236.29,551.29,315,229.29,0
-75.866,176.81,117.8,6.9798,56.963,92.963,247.96,155,294.29,534.19,234.96,531.96,297,242.47,0
-78.399,143.81,113.75,6.8248,88.039,124.04,242.04,118,136,360.31,251.04,541.28,290.24,225.53,0
-76.197,138.27,113.68,8.476,77.174,105.17,247.17,142,132.97,359.31,305.17,636.17,331,228.93,0
-75.256,126.44,109.37,6.7444,55.653,95.653,265.65,170,157.28,363.04,274.65,598.65,324,208.05,0
-77.912,172.67,117.96,7.2283,67.722,101.72,236.72,135,177.12,381.63,238.72,535.72,297,206,0
-76.322,152.52,116.41,8.7911,60.236,88.236,246.24,158,210.2,427.92,230.24,493.24,263,218.69,0
-76.69,149.07,114.53,7.472,69.969,107.97,260.35,152.38,137.77,362.02,297.35,621.35,324,226.6,0
-78.316,158.49,113.58,5.8668,78.593,113.59,241.59,128,114.28,321.46,313.59,656.59,343,209.87,0
-76.186,197,120.27,7.0608,59.374,97.374,235.37,138,121.42,351.62,279.37,577.37,298,231.54,0
-75.22,135.17,112.3,7.5578,55.043,87.766,261.77,174,415.57,668.93,245.77,570.77,325,258.86,0
-76.262,166.22,115.4,6.5453,61.544,100.54,259.54,159,308.21,516.3,195.54,475.54,280,209.83,0
-76.126,157.87,115.66,7.4571,67.782,108.78,266.78,158,229.13,436.22,174.78,394.78,220,207.42,0
-76.55,162.65,115.25,6.4637,63.958,98.958,251.96,153,322.33,558.23,216.96,514.96,298,238.56,0
-77.535,181.18,119.17,7.0557,60.14,97.14,248.14,151,349.77,591.77,228.14,528.21,300.07,245.11,0
-76.69,148.15,114.33,7.0996,63.695,98.695,249.16,150.46,255.14,484.15,266.16,599.16,333,233.03,0
-75.926,208.57,119.12,6.2431,66.587,104.59,243.59,139,278.56,510.08,199.59,469.59,270,232.95,0
-77.172,200.03,119.77,6.3885,83.152,119.15,266.15,147,213.16,450.94,251.15,560.15,309,240.16,0
-75.598,161.54,115.16,6.7143,65.593,101.59,256.38,154.79,171.33,393.15,281.38,609.38,328,224.56,0
-75.563,163.3,113.93,6.3951,56.483,88.483,241.48,153,206.26,441.57,278.48,619.48,341,239.12,0
-77.487,128.41,111.01,6.8676,66.422,101.42,236.42,135,222.25,434.83,202.42,469.42,267,213.6,0
-79.933,167.62,118.6,7.7789,94.466,122.47,236.47,114,208.72,424.87,264.47,596.47,332,219.41,0
-75.426,140.24,111.05,6.39,55.313,95.313,266.08,170.77,138.35,360.56,260.08,559.08,299,223.51,0
-77.563,180.16,118.73,7.1065,63.899,99.899,246.9,147,214.15,414.55,187.9,432.9,245,200.95,0
-78.213,153.97,116.37,8.0789,93.906,124.91,251.91,127,204.01,425.81,211.91,477.91,266,222.85,0
-76.196,151.2,113.72,6.774,55.795,86.795,241.86,155.06,235.58,463.38,269.86,608.86,339,231.81,0
-76.484,178.46,119.87,8.2704,68.989,105.99,253.99,148,220.51,444.91,298.99,639.99,341,229.08,0
-76.807,129.39,112.17,8.2119,72.713,105.71,257,151.29,169.95,394.48,262,564.07,302.07,226.29,0
-75.764,132.6,112.16,7.8854,80.959,108.96,249.96,141,104.82,347.59,295.11,612.11,317,244.38,0
-77.361,140.27,114.52,8.6226,78.733,112.73,252.73,140,191.04,441.56,291.73,611.73,320,253.48,0
-77.783,147.5,114.48,7.1784,91.196,125.2,257.2,132,154.14,367.55,279.2,605.2,326,215.78,0
-76.584,174.12,116.56,6.523,58.784,95.784,255.78,160,239.79,473.74,240.78,546.78,306,236.31,0
-76.48,188.12,116.82,5.9852,60.079,103.08,257.08,154,119.62,359.5,308.08,635.08,327,242.13,0
-75.37,168.19,116.03,6.9779,59.354,94.354,262.35,168,253.79,474.44,236.35,544.35,308,223.16,0
-76.396,127.02,112.3,9.226,69.276,100.77,256.77,156,236.86,465.86,249.77,545.77,296,231.14,0
-76.54,127.54,112.16,8.7405,67.742,99.742,246.74,147,135.17,382.5,275.68,555.68,280,248.44,0
-77.376,169.07,118.65,8.0778,76.261,114.26,262.26,148,390.15,627.34,200.26,471.26,271,239.31,0
-75.18,170.83,117.28,7.4354,58.879,96.879,265.88,169,170.32,401.64,286.88,602.88,316,233.75,0
-77.07,138.64,114.3,8.6266,93.557,125.56,255.56,130,202.99,438.81,283.56,615.56,332,239.3,0
-77.08,161.83,116.12,6.9603,78.811,107.81,242.02,134.21,279.42,536.39,255.02,582.02,327,260.89,0
-76.991,128.47,111.68,7.63,71.157,105.16,253.16,148,229.49,468.54,261.16,579.16,318,241.99,0
-78.329,159.81,117.85,8.5841,80.678,116.68,243.68,127,184.97,411.44,287.68,613.68,326,229.54,0
-76.017,149.63,114.22,7.1953,78.53,113.53,266.53,153,203.23,436.45,241.53,536.53,295,234.95,0
-74.603,131.04,110.33,6.8892,56.636,88.636,255.64,167,251.68,495.89,218.64,494.64,276,245.71,0
-77.096,163.84,118.09,8.4106,75.186,110.19,254.19,144,197.2,400.31,224.19,497.19,273,204.18,0
-75.96,161.8,113.94,6.3439,56.495,89.495,242.49,153,189.58,454.29,311.49,660.49,349,269.29,0
-77.926,182.13,119.21,7.108,77.918,111.92,245.92,134,153.73,338.31,279.92,612.92,333,187.16,0
-75.393,160.54,116.56,7.8197,61.09,96.037,252.04,156,293.39,507.74,198.04,460.04,262,215.59,0
-75.188,156.35,116.64,8.9465,55.193,87.193,252.19,165,101.67,321.51,342.19,664.19,322,222.1,0
-76.247,163.22,116.48,7.4869,81.578,112.58,254.58,142,165.69,427.32,341.58,694.58,353,266.96,0
-76.31,141.31,114.67,8.8352,77.713,110.71,257.71,147,174.76,406.87,282.71,596.71,314,234.53,0
-76.08,123.95,110.2,7.4869,78.739,111.74,261.78,150.04,194.91,423.44,266.78,592.78,326,231.36,0
-75.69,152.63,113.94,6.9456,56.977,88.977,249.98,161,276.25,497.74,219.98,516.98,297,223.67,0
-76.648,123.25,111.29,8.1829,60.603,95.603,252.6,157,416.93,631.16,180.6,439.6,259,215.91,0
-74.54,131.19,110.63,6.9688,66.684,99.684,266.04,166.35,221.3,464.66,284.04,624.04,340,247.52,0
-76.827,141.52,115.09,9.1685,78.214,109.21,249.11,139.9,385.22,618.24,212.11,506.11,294,236.06,0
-77.352,175.63,117.44,6.776,59.279,100.28,251.28,151,261.15,476.1,202.28,468.28,266,216.15,0
-76.75,188.11,115.22,5.6326,60.606,98.606,245.61,147,253.39,492.35,218.61,513.61,295,241,0
-76.34,162.74,116.14,6.9852,75.848,112.85,265.85,153,276.25,514.69,256.85,583.85,327,242.29,0
-75.148,132.15,111.49,7.4709,58.895,91.895,257.9,166,262.68,514.11,273.9,603.9,330,255.64,0
-76.534,174.87,119.39,8.0945,80.574,119.57,260.57,141,271.93,480.16,170.57,388.57,218,208.66,0
-76.837,145.28,114.25,7.3071,64.246,102.25,259.25,157,174.21,405.67,289.25,611.25,322,234.14,0
-75.504,125.04,110.1,7.3447,61.474,99.474,261.47,162,256.32,480.81,218.47,500.47,282,226.08,0
-77.675,186.31,120.77,7.6387,76.598,109.6,247.6,138,169.1,431.79,306.4,632.4,326,265.75,0
-75.897,127.77,111.47,7.8744,64.647,98.647,258.65,160,109.77,334.15,297.65,605.65,308,225.89,0
-77.624,169.77,115.55,6.0517,56.544,100.54,242.54,142,147.43,368.16,296.54,630.54,334,223.52,0
-77.415,124.25,111.22,8.3116,69.074,103.07,247.07,144,106.57,336.44,264.07,538.07,274,230.59,0
-78.349,159.8,117.75,8.4336,76.189,107.19,236.19,129,302.63,539.37,260.44,593.44,333,241.47,0
-76.955,182.21,116.44,6.04,56.639,96.639,247.64,151,210.09,439.23,296.64,647.64,351,233.9,0
-76.456,159.55,115.23,6.7445,73.042,108.04,255.04,147,308.08,550.12,261.04,601.04,340,247.17,0
-77.281,192.88,120.85,7.2066,84.854,119.85,254.85,135,190.6,434.73,310.85,652.85,342,248.55,0
-76.842,175.4,118.33,7.3095,66.05,103.05,253.05,150,198.8,435.94,322.05,674.05,352,242.6,0
-76.984,163.12,115.03,6.2612,57.234,98.234,250.23,152,202.88,431.86,249.23,555.23,306,231.03,0
-77.12,162.43,116,6.852,55.361,91.361,239.36,148,169.31,379.6,215.36,470.69,255.33,210.92,0
-76.856,193.98,120.84,7.2674,63.267,100.27,247.39,147.13,228.31,443.72,243.39,547.39,304,217.64,0
-76.939,189.52,119.97,7.1879,67.323,106.32,258.32,152,160.26,390.82,309.32,645.32,336,233.92,0
-75.801,139.54,113.58,7.924,58.725,90.725,255.73,165,204.86,438.34,271.73,577.73,306,235.81,0
-77.523,139.75,112.58,6.6225,63.994,96.994,236.99,140,251.09,477.72,239.99,555.99,316,229.43,0
-77.22,130.91,113.2,8.8484,92.369,125.37,257.5,132.13,199.76,450.66,274.5,586.5,312,253.46,0
-75.568,125.34,110.32,7.3937,56.61,89.61,242.61,153,203.76,416.78,258.61,579.61,321,215.59,0
-77.955,183.62,118.67,6.7296,70.587,107.59,243.85,136.26,159.42,378.85,270.85,587.85,317,221.58,0
-77.266,170.23,115.34,6.0552,81.51,114.51,250.8,136.29,133.91,396.92,353.8,706.8,353,267.74,0
-75.493,133.28,110.81,6.6766,66.404,98.404,253.4,155,177,423.93,302.4,645.4,343,250.83,0
-76.373,143.91,114.58,8.144,60.519,91.519,236.84,145.32,312.59,518.73,197.84,467.84,270,207.64,0
-77.447,162.77,117.08,7.486,89.36,120.36,263.36,143,201.25,422.8,248.36,555.36,307,223.65,0
-77.437,173.41,118.3,7.2295,92.694,121.69,250.69,129,192.64,436.27,311.69,660.69,349,248.53,0
-76.632,176.86,113.65,5.5476,62.972,101.97,257.93,155.96,255.23,499.9,222.93,520.93,298,246.84,0
-75.724,145.45,113.91,7.2039,60.378,97.378,256.38,159,407,654.63,222.38,525.82,303.44,251.34,0
-77.201,157.86,116.97,8.048,81.273,111.27,248.27,137,157.49,393.2,304.27,637.27,333,238.81,0
-76.804,149.01,113.29,6.484,67.837,109.84,263.84,154,160.54,360.84,241.84,539.84,298,201.68,0
-76.677,134.24,111.73,7.1084,61.589,96.589,250.59,154,152.17,363.67,262.59,572.59,310,213.19,0
-76.918,135.84,112.91,7.522,67.411,99.411,245.41,146,253.68,460.2,257.41,592.41,335,210.42,0
-76.004,144.4,113.18,7.0922,59.281,98.281,264.28,166,253.49,474.35,263.28,596.28,333,224.72,0
-77.048,213.11,118.45,5.7519,62.11,100.11,246.11,146,271.37,534.5,299.11,657.83,358.72,269.99,0
-76.834,152.25,114.28,6.9524,61.369,95.369,247.37,152,198.02,417.8,309.37,665.37,356,225.06,0
-77.536,150.58,114.55,7.0762,59.682,97.682,243.68,146,322.77,531.15,177.68,427.68,250,209.43,0
-78.093,163.59,118.29,8.2018,64.79,101.79,240.79,139,440.07,664.72,203.79,487.79,284,227.65,0
-77.776,162.56,114.86,6.13,59.518,102.52,244.52,142,332.83,570.61,194.52,464.52,270,239.44,0
-75.156,145.19,114.72,8.5332,72.101,104.1,262.1,158,143.22,388.58,318.1,645.1,327,248.29,0
-76.226,175.71,119.77,8.7315,80.758,113.76,264.76,151,129.09,355.17,273.76,565.76,292,227.4,0
-75.789,216.07,119.46,6.0631,55.095,92.095,242.09,150,219.52,468.29,267.09,591.09,324,251.97,0
-75.667,150.98,114.72,7.4721,67.581,103.58,266.58,163,240.21,462.69,259.58,584.58,325,225.76,0
-77.666,205.31,120.71,6.3972,64.864,98.864,239.86,141,228.06,455.98,245.86,559.86,314,230.48,0
-78.108,165.35,118.05,7.8258,101.48,132.48,266.48,134,159.04,357.79,216.48,483.48,267,199.61,0
-78.249,170.48,117.56,6.9755,84.338,117.34,250.34,133,176.86,392.1,243.34,542.34,299,216.89,0
-74.286,129.41,110.62,7.3637,57.169,92.169,260.17,168,129.93,379.31,332.17,667.17,335,252.5,0
-75.583,135.19,114,9.3142,65.079,96.079,252.08,156,425.77,659.6,190.08,447.08,257,235.58,0
-77.053,167.47,116.9,6.9675,72.385,106.38,251.38,145,211.83,442.86,241.38,539.38,298,232.92,0
-76.12,161.04,114.79,6.6139,79.834,114.83,263.83,149,149.51,377.82,263.83,572.83,309,230.09,0
-74.264,134.31,110.81,6.9523,60.162,95.162,260.16,165,153.07,384.1,228.16,487.16,259,231.68,0
-77.053,127.4,112.82,9.9004,92.587,119.59,245.59,126,169.11,409.64,275.59,590.59,315,242.85,0
-76.142,214.36,117.99,5.885,68.737,105.74,257.74,152,168.42,394.79,306.86,657.86,351,230.48,0
-76.423,172.25,117.48,6.9755,71.931,109.93,260.93,151,166.19,373.06,183.93,403.93,220,207.19,0
-77.62,180.29,119.49,7.335,67.242,101.24,235.23,133.99,408.75,657.46,205.23,487.97,282.74,251.42,0
-77.312,192.47,116.18,5.6427,66.685,109.69,256.69,147,180.85,382.74,209.69,486.69,277,202.9,0
-74.965,168.09,117.19,7.8949,78.293,108.29,253.29,145,106.7,328.9,322.29,657.29,335,224.62,0
-76.874,176.44,117.6,6.7738,62.897,96.897,237.9,141,136.97,368.22,303.76,634.76,331,233.84,0
-76.898,170.49,117.05,6.8815,76.667,113.67,257.67,144,154.45,393.3,300.67,631.9,331.24,241.78,0
-77.967,178.69,120.14,8.0723,75.512,110.51,246.51,136,129.52,331.51,243.51,516.51,273,202.75,0
-76.458,132.54,112.04,7.624,68.731,101.73,250,148.27,236.1,458.89,193,441,248,223.59,0
-75.996,182.12,119.53,7.7873,62.614,98.614,257.61,159,234.07,440.95,192.61,432.61,240,207.45,0
-76.246,130.76,111.13,7.2638,64.57,96.57,246.57,150,169.17,407.78,330.57,685.57,355,243.76,0
-75.065,133.64,112.37,7.9173,70.538,105.54,261.58,156.04,241.08,454.43,206.99,471.58,264.59,214.44,0
-77.457,198.53,119.44,6.3904,56.856,98.856,241.01,142.15,171.59,371.4,214.01,481.01,267,200.62,0
-76.828,143.7,112.78,6.8106,71.691,107.69,253.19,145.5,128.35,370.49,329.19,671.19,342,245.49,0
-76.362,158.49,115.57,7.0563,56.326,87.326,235.33,148,134.69,366.64,303.33,629.33,326,234.41,0
-77.928,192.27,119.76,6.6646,57.984,97.984,236.98,139,182.01,416.16,296.98,631.98,335,237.62,0
-76.737,155.34,115.77,7.3233,64.384,98.384,252.38,154,305.59,536.44,197.38,455.38,258,232.07,0
-76.015,169.7,118,7.8337,64.959,97.959,240.96,143,111.63,358.25,333.96,663.96,330,249.21,0
-74.642,144.23,111.87,6.7348,68.132,101.13,262.13,161,155.13,399.34,312.13,655.13,343,247.84,0
-76.235,139.63,110.88,6.0996,72.534,110.53,266.62,156.09,199.42,450.13,294.62,638.62,344,254.88,0
-76.052,135.86,113.02,7.9305,66.704,100.7,261.7,161,380,620.42,242.7,569.7,327,245.48,0
-77.316,155.89,115.58,7.037,74.88,108.88,249.88,141,251.25,484.17,267.88,603.88,336,237.06,0
-76.726,148.25,114.2,7.0562,71.272,102.27,240.27,138,143.55,365.02,264.27,571.27,307,223.09,0
-76.389,157.81,115.34,6.9823,68.195,105.19,260.19,155,158.98,381.7,280.19,601.19,321,225.09,0
-76.951,174.84,119.05,8.0066,82.262,113.26,252.26,139,186.88,417.98,291.52,624.52,333,234.56,0
-77.267,142.92,113.77,7.236,81.585,114.58,249.58,135,188.81,431.64,228.58,501.16,272.58,243.94,0
-75.558,124.58,110.84,7.8645,59.385,88.385,242.39,154,120.86,344.26,258.39,531.39,273,224.15,0
-78.056,185.6,120.75,7.8668,72.355,107.36,237.36,130,298.21,515.87,214.36,500.36,286,219.7,0
-76.92,194.43,120.05,6.8342,59.448,92.448,237.45,145,338.98,593.5,214.45,493.45,279,256.67,0
-77.102,157.97,113.03,5.9664,59.122,102.12,253.12,151,215.85,442.9,217.12,500.12,283,228.45,0
-77.551,129.61,112.09,7.6491,85.292,116.29,246.29,130,180.21,417.26,308.29,655.29,347,241.31,0
-75.441,134.41,113.29,8.8088,70.574,102.57,258.57,156,288.67,515.07,191.57,435.57,244,227.28,0
-75.887,133.77,113.33,9.105,88.521,116.52,253.52,137,104.7,338.85,309.52,631.52,322,236.09,0
-75.817,132.82,109.91,6.4402,60.049,97.049,257.05,160,106.05,338.86,272.05,573.05,301,233.97,0
-75.879,155.49,115.25,7.1491,59.982,101.98,265.98,164,204.52,412.49,234.98,522.98,288,209.47,0
-77.872,131.47,113.16,8.6055,75.438,106.44,239.44,133,301.94,530.07,256.44,589.44,333,232.69,0
-77.128,149.66,115.55,8.1347,71.114,105.11,248.11,143,236.72,449.96,206.11,467.11,261,214.22,0
